2025-02-26 13:06:46,260 data_to_fw.py ERROR: File /home/factana/object_tracking/order_status_payloads/.gitkeep is empty. Removing.
2025-02-26 13:12:38,166 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac644040>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:12:41,856 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63b9d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:12:45,564 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63bfd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:12:49,558 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffacee16d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:12:53,261 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac644130>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:12:56,961 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63b070>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:13:00,658 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac63b8b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:13:04,669 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffacee1940>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:13:08,363 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac5ac5b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-02-26 13:13:12,072 data_to_fw.py ERROR: Error : HTTPConnectionPool(host='127.0.0.1', port=7077): Max retries exceeded with url: /fwvision/qcinspection/update_qc_order (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffffac5c44f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
